index,Unnamed: 0,American football,Baseball,Basketball,Bowling,Boxing,Cycling and Road Bicycle Racing,Fencing,Figure Skating,Golf,Horse Racing,Ice hockey,Indianapolis 500,Kayaking,Mixed martial arts,NASCAR,Other individual sports,Other motor sports,Other team sports,Skiing,Snowboarding,Soccer,Surfing,Swimming,Tennis,Track & Field,Wrestling,Grand Total
0,1954,2,2,1.0,,,,,,1.0,3.0,,,,,,6.0,1.0,3.0,,,,,1.0,,,,20
1,1955,7,9,,1.0,1.0,,1.0,1.0,2.0,4.0,,,,,,14.0,,2.0,4.0,,,,2.0,1.0,3.0,,52
2,1956,8,13,1.0,,1.0,,,1.0,3.0,5.0,1.0,1.0,1.0,,,8.0,1.0,,2.0,,,,2.0,1.0,4.0,,53
3,1957,4,9,3.0,,4.0,,,,2.0,5.0,2.0,1.0,,,,11.0,2.0,2.0,3.0,,,,,2.0,1.0,1.0,52
4,1958,4,12,2.0,,3.0,,,1.0,4.0,3.0,1.0,1.0,,,,7.0,,5.0,1.0,,,1.0,2.0,3.0,2.0,,52
5,1959,4,5,1.0,,2.0,,,,7.0,5.0,1.0,1.0,,,,9.0,3.0,4.0,3.0,,,,1.0,2.0,4.0,,52
6,1960,6,6,2.0,1.0,2.0,,,,8.0,2.0,3.0,,,,,12.0,1.0,2.0,2.0,,,,1.0,,4.0,,52
7,1961,7,7,4.0,,2.0,,,1.0,8.0,3.0,,1.0,,,,7.0,1.0,3.0,1.0,,,,2.0,2.0,3.0,,52
8,1962,8,9,3.0,,3.0,,,,8.0,2.0,1.0,,,,,6.0,1.0,4.0,3.0,,,1.0,3.0,1.0,,,53
9,1963,12,8,3.0,,3.0,,,,6.0,3.0,2.0,,,,,6.0,1.0,1.0,3.0,,,,1.0,2.0,1.0,,52
10,1964,12,7,3.0,,5.0,,,,7.0,2.0,2.0,1.0,,,,1.0,,2.0,3.0,,,,1.0,1.0,5.0,,52
